2013-09-22 12:51:41 [INFO] Preparing spawn area: 94%
2013-09-22 12:51:42 [INFO] Preparing spawn area: 95%
2013-09-22 12:51:46 [INFO] Preparing spawn area: 96%
2013-09-22 12:51:47 [INFO] Preparing spawn area: 97%
2013-09-22 12:51:48 [INFO] Preparing spawn area: 98%
2013-09-22 12:51:49 [INFO] Preparing spawn area: 98%
2013-09-22 12:51:50 [INFO] Preparing spawn area: 99%
2013-09-22 12:51:51 [INFO] Preparing start region for level 1 (Seed: -558526835051398823)
2013-09-22 12:51:53 [INFO] Preparing spawn area: 0%
2013-09-22 12:51:54 [INFO] Preparing spawn area: 1%
2013-09-22 12:51:55 [INFO] Preparing spawn area: 2%
2013-09-22 12:51:56 [INFO] Preparing spawn area: 4%
2013-09-22 12:51:57 [INFO] Preparing spawn area: 6%
2013-09-22 12:51:58 [INFO] Preparing spawn area: 8%
2013-09-22 12:51:59 [INFO] Preparing spawn area: 11%
2013-09-22 12:52:02 [INFO] Preparing spawn area: 13%
2013-09-22 12:52:03 [INFO] Preparing spawn area: 17%
2013-09-22 12:52:04 [INFO] Preparing spawn area: 21%
2013-09-22 12:52:05 [INFO] Preparing spawn area: 22%
2013-09-22 12:52:06 [INFO] Preparing spawn area: 27%
2013-09-22 12:52:08 [INFO] Preparing spawn area: 32%
2013-09-22 12:52:09 [INFO] Preparing spawn area: 33%
2013-09-22 12:52:10 [INFO] Preparing spawn area: 35%
2013-09-22 12:52:11 [INFO] Preparing spawn area: 38%
2013-09-22 12:52:12 [INFO] Preparing spawn area: 40%
2013-09-22 12:52:13 [INFO] Preparing spawn area: 41%
2013-09-22 12:52:14 [INFO] Preparing spawn area: 45%
2013-09-22 12:52:15 [INFO] Preparing spawn area: 48%
2013-09-22 12:52:17 [INFO] Preparing spawn area: 49%
2013-09-22 12:52:19 [INFO] Preparing spawn area: 51%
2013-09-22 12:52:20 [INFO] Preparing spawn area: 55%
2013-09-22 12:52:21 [INFO] Preparing spawn area: 60%
2013-09-22 12:52:22 [INFO] Preparing spawn area: 63%
2013-09-22 12:52:23 [INFO] Preparing spawn area: 67%
2013-09-22 12:52:24 [INFO] Preparing spawn area: 70%
2013-09-22 12:52:25 [INFO] Preparing spawn area: 72%
2013-09-22 12:52:26 [INFO] Preparing spawn area: 76%
2013-09-22 12:52:27 [INFO] Preparing spawn area: 81%
2013-09-22 12:52:28 [INFO] Preparing spawn area: 83%
2013-09-22 12:52:30 [INFO] Preparing spawn area: 84%
2013-09-22 12:52:32 [INFO] Preparing spawn area: 87%
2013-09-22 12:52:33 [INFO] Preparing spawn area: 89%
2013-09-22 12:52:34 [INFO] Preparing spawn area: 93%
2013-09-22 12:52:35 [INFO] Preparing spawn area: 97%
2013-09-22 12:52:35 [INFO] Preparing start region for level 2 (Seed: -558526835051398823)
2013-09-22 12:52:37 [INFO] Preparing spawn area: 2%
2013-09-22 12:52:38 [INFO] Preparing spawn area: 9%
2013-09-22 12:52:39 [INFO] Preparing spawn area: 20%
2013-09-22 12:52:40 [INFO] Preparing spawn area: 31%
2013-09-22 12:52:41 [INFO] Preparing spawn area: 41%
2013-09-22 12:52:42 [INFO] Preparing spawn area: 49%
2013-09-22 12:52:43 [INFO] Preparing spawn area: 53%
2013-09-22 12:52:44 [INFO] Preparing spawn area: 57%
2013-09-22 12:52:45 [INFO] Preparing spawn area: 66%
2013-09-22 12:52:46 [INFO] Preparing spawn area: 72%
